audit_mode,module,file,xmlid,view_name,model,inherit_id,arch_root,arch_kind,field_count,group_count,labelled_group_count,notebook_count,page_count,labelled_page_count,statusbar_count,header_button_count,button_box_count,stat_button_count,chatter_count,x2many_inline_count,data_anchor_count,source_trace_field_count,structural_score,classification,recommendation,gaps
static_xml,sc_norm_engine,addons/sc_norm_engine/views/norm_views.xml,view_sc_norm_chapter_form,sc.norm.chapter.form,sc.norm.chapter,,form,full_form,6,1,0,0,0,0,0,0,0,0,0,0,6,0,7,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
static_xml,sc_norm_engine,addons/sc_norm_engine/views/norm_import_views.xml,view_sc_norm_import_wizard,sc.norm.import.wizard.form,sc.norm.import.wizard,,form,full_form,4,2,0,0,0,0,0,0,0,0,0,0,5,0,5,needs_xml_structure,缺少 sheet/group，契约层难以稳定推断主信息区,missing_sheet;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
static_xml,sc_norm_engine,addons/sc_norm_engine/views/norm_views.xml,view_sc_norm_item_form,sc.norm.item.form,sc.norm.item,,form,full_form,13,6,2,0,0,0,0,0,0,0,0,0,13,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
static_xml,sc_norm_engine,addons/sc_norm_engine/views/norm_views.xml,view_sc_norm_specialty_form,sc.norm.specialty.form,sc.norm.specialty,,form,full_form,9,1,0,1,2,2,0,0,0,0,0,2,14,0,12,needs_semantic_annotation,结构基本可用，建议补 group/page 标题或 data-sc-anchor,missing_labelled_group;missing_statusbar;missing_button_box;missing_chatter
static_xml,smart_construction_core,addons/smart_construction_core/views/support/account_extend_views.xml,view_move_form_sc_cost,account.move.form.sc.cost,account.move,account.view_move_form,root,inherited_fragment,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,inherit_fragment,继承片段需运行态合并后再判定；静态层只做补丁风险识别,not_full_form;missing_sheet;missing_group;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
static_xml,smart_construction_core,addons/smart_construction_core/views/support/audit_list_fields_views.xml,view_audit_fields_view_construction_contract_tree,construction.contract.audit.fields.view_construction_contract_tree,construction.contract,view_construction_contract_tree,xpath,inherited_fragment,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,inherit_fragment,继承片段需运行态合并后再判定；静态层只做补丁风险识别,not_full_form;missing_sheet;missing_group;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
static_xml,smart_construction_core,addons/smart_construction_core/views/core/contract_views.xml,view_construction_contract_form,construction.contract.form,construction.contract,,form,full_form,74,5,2,1,2,2,1,8,0,0,0,1,83,7,14,auto_standardizable,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
static_xml,smart_construction_core,addons/smart_construction_core/views/core/contract_views.xml,view_construction_contract_expense_form,construction.contract.expense.form,construction.contract.expense,,form,full_form,56,4,1,1,3,3,1,8,0,0,0,1,65,5,14,auto_standardizable,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
static_xml,smart_construction_core,addons/smart_construction_core/views/core/contract_views.xml,view_construction_contract_income_form,construction.contract.income.form,construction.contract.income,,form,full_form,63,4,1,1,3,3,1,8,0,0,0,1,72,5,14,auto_standardizable,可直接作为项目式结构标准化输入,missing_button_box;missing_chatter
static_xml,smart_construction_core,addons/smart_construction_core/views/support/audit_list_fields_views.xml,view_audit_fields_view_exec_structure_wbs_tree,construction.work.breakdown.audit.fields.view_exec_structure_wbs_tree,construction.work.breakdown,view_exec_structure_wbs_tree,xpath,inherited_fragment,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,inherit_fragment,继承片段需运行态合并后再判定；静态层只做补丁风险识别,not_full_form;missing_sheet;missing_group;missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
