issue_id,severity,category,role,surface,route,component,finding,user_impact,evidence,reproducible,root_layer,recommendation,size,dependency,suggested_branch,blocking_delivery
FE-AUD-0001,P1,UX,all,record title,/r/:model/:id,pageIdentity resolver,已由统一 record display_name/业务主标识/产品 fallback 契约关闭，技术 model/id 标题为 0,普通用户不再看到内部实现信息,artifacts/frontend-page-identity-deep/report.json,true,frontend,保留技术标题守卫,S,page contract,FE-B03,false
FE-AUD-0002,P2,审计工具,all,权威导航,/,frontend_product_maturity_audit.mjs,预审计曾将付款导航误判为危险并遗漏递归节点，修正版已移除该过滤并完成动态叶节点解析,此前导致证据缺口,artifacts/frontend-audit/full-surface-report.json,true,frontend,保留递归巡检回归,S,acceptance runtime,FE-AUD-F01,false
FE-AUD-0003,P2,证据,all,核心旅程,all,J02-J11 browser suites,FE-B02 至 FE-B06 已将 J02-J11 拆分为真实浏览器逐步验收并保持 console/pageerror/非预期 HTTP 为 0,表面可达与深度旅程已有独立证据,artifacts/frontend-delivery-hardening/report.json,true,evidence,持续保留旅程级失败步骤和证据路径,S,acceptance runtime,FE-B06,false
FE-AUD-0004,P2,UX,finance,公司切换,company context,AppShell/session,FE-B06 以 context epoch 和迟到响应守卫关闭 A→B 及 B→A→B 乱序覆盖风险,最终页面只反映最后有效公司且 logout 后不复用角色数据,artifacts/frontend-delivery-hardening/report.json,true,frontend,保留 J11 乱序和 J02 A→B→A 回归,M,浏览器证据,FE-B06,false
FE-AUD-0005,P2,可访问性,all,首批交付表面,all,shared components,FE-B06 已统一 main/nav/breadcrumb 语义、可见焦点、原生 dialog 焦点约束与返回并引入固定 axe 引擎,键盘关键旅程可用且严重/关键阻断为 0,artifacts/frontend-delivery-hardening/accessibility.json,true,frontend,持续扫描代表表面并保留人工键盘旅程,M,@axe-core/playwright 4.10.2,FE-B06,false
FE-AUD-0006,P2,性能,all,初始化/详情/切换,all,session/action runtime,FE-B06 已对登录、SPA 导航、详情、表单与公司切换执行每场景 5 次固定环境采样,性能门禁具备原始样本且未通过删除权限检查或业务数据优化,artifacts/frontend-delivery-hardening/performance.json,true,frontend/runtime,持续按同一验收 runtime 比较中位数和最慢值,M,稳定 runtime,FE-B06,false
FE-AUD-0007,P1,UX/权限,project_member,敏感业务导航,权威导航,role surface,FE-B02/FE-B02R 已关闭项目成员敏感入口和四个不可达入口，当前分母 70 且权限冲突为 0,避免误操作和不可用入口,artifacts/playwright/frontend-navigation-access/report.json,true,frontend/contract,保留 70 叶可达性回归,L,产品角色定义,FE-B02R,false
FE-AUD-0008,P1,UX,all,全局页面标题,all,Page Identity,70 个当前权威表面均已使用业务标题且通用“业务动作”命中为 0,用户可稳定识别业务位置和页面目的,artifacts/frontend-page-identity/full-surface-report.json,true,frontend/contract,保留契约与全表面守卫,S,page contract,FE-B03,false
FE-AUD-0009,P1,证据,all,J02-J11,all,browser acceptance,核心交付旅程已逐步执行并由 FE-B06 加入错误恢复、窄屏键盘和异步上下文隔离,可据独立旅程证据评估首批交付,artifacts/frontend-delivery-hardening/report.json,true,evidence,保留 J02-J11 最终回归,L,acceptance runtime,FE-B06,false
FE-AUD-0010,P1,权限/UX,project_member,付款/财务入口,/a/876?menu_id=606,PermissionDenied,FE-B02 已关闭导航暴露并统一为明确无权状态，FE-B03 确认不泄露目标 record identity,角色获得明确且安全的权限反馈,artifacts/frontend-page-identity-deep/report.json,true,frontend/contract,保留 action/menu/record 直达拒绝守卫,P,产品角色定义,FE-B02,false
FE-AUD-0011,P1,UX,all,页面标题,all,Page Identity,70 个当前权威表面标题和浏览器标签全部通过统一 identity 契约,用户可识别页面业务目的,artifacts/frontend-page-identity/full-surface-report.json,true,frontend/contract,保留单一 document.title 写入守卫,M,page contract,FE-B03,false
FE-AUD-0012,P2,证据,all,我的工作/表单,/my-work,MyWorkApprovalWorkspace.vue,FE-B05 已建立付款申请权威工作项、产品表单和正式提交审批闭环，J07/J08 均通过,用户可从工作台完成创建保存提交审批并看到待办同步,artifacts/frontend-my-work-approval/report.json,true,frontend/contract,保留工作项权限聚合与生命周期回归,S,acceptance fixture,FE-B05,false
FE-AUD-0013,P1,UX,all,核心详情与表单,/r/:model/:id,ProductRecordPage contract,FE-PRO-03 已统一五类核心详情结构并完成合同与付款申请错误/冲突/未保存恢复,用户可理解状态金额关系并安全完成正式操作,artifacts/frontend-professional/fe-pro-03/comparison-report.json,true,frontend/contract,保留 J04-J13 与四尺寸回归,L,正式 page/form contract,FE-PRO-03,false
FE-AUD-0014,P2,架构,all,通用表单,/f/:model/:id,ContractFormPage.vue,正式路径已收敛且产品责任已抽取但文件仍有5587行,后续高频修改仍可能受通用表单复杂度影响,docs/frontend_productization/frontend_core_record_form_productization_v1.md,true,frontend,按真实修改热点继续抽离加载 relation one2many 与配置责任,L,稳定回归证据,后续架构收口,false
