priority_lane,domain_group,surface_lane,model,xmlid,view_name,classification,structural_score,field_count,group_count,notebook_count,page_count,button_box_count,statusbar_count,source_trace_field_count,recommendation,gaps
P0_contract_default_tabs,finance,business_document,payment.ledger,smart_construction_core.view_payment_ledger_form,payment.ledger.runtime.default.form,contract_auto_with_default_tabs,7,9,4,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,finance,business_document,payment.request,smart_construction_core.view_payment_request_form,payment.request.runtime.default.form,contract_auto_with_default_tabs,10,48,10,0,0,1,1,5,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_chatter
P0_contract_default_tabs,finance,business_document,payment.request.line,smart_construction_core.view_payment_request_line_form,payment.request.line.runtime.default.form,contract_auto_with_default_tabs,9,19,5,0,0,1,0,8,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_chatter
P0_contract_default_tabs,material,business_document,sc.material.catalog,smart_construction_core.view_sc_material_catalog_form,sc.material.catalog.runtime.default.form,contract_auto_with_default_tabs,8,17,8,0,0,0,0,4,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,material,business_document,sc.material.price,smart_construction_core.view_sc_material_price_form,sc.material.price.runtime.default.form,contract_auto_with_default_tabs,8,18,8,0,0,0,0,3,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,material,business_document,sc.material.stock.summary,smart_construction_core.view_sc_material_stock_summary_form,sc.material.stock.summary.runtime.default.form,contract_auto_with_default_tabs,8,25,9,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.budget.cost.alloc,smart_construction_core.view_project_budget_cost_alloc_form,project.budget.cost.alloc.runtime.default.form,contract_auto_with_default_tabs,7,6,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.cost.code,smart_construction_core.view_project_cost_code_form,project.cost.code.runtime.default.form,contract_auto_with_default_tabs,7,7,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.cost.ledger,smart_construction_core.view_project_cost_ledger_form,project.cost.ledger.runtime.default.form,contract_auto_with_default_tabs,7,10,3,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
P0_contract_default_tabs,project,business_document,project.funding.baseline,smart_construction_core.view_project_funding_baseline_form,project.funding.baseline.runtime.default.form,contract_auto_with_default_tabs,7,4,1,0,0,0,0,0,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
